-101|176.78
940|-117.04
348|-16.84
683|-619.80
863|264.99
34|524.26
-130|868.91
743|-82.19
312|-650.01
229|807.28
976|454.48
-129|680.06
-5|-382.24
367|970.43
334|-235.80
-119|-458.91
-102|-831.86
-656|537.49
585|71.93
-931|346.01
514|48.87
-686|-797.65
-748|90.75
286|661.87
-435|402.42
-762|-517.15
994|-173.55
827|725.93
778|662.31
-643|731.09
920|-437.45
-803|874.86
205|470.19
592|176.80
-852|725.06
944|962.10
748|-468.37
-528|-224.54
636|214.52
417|212.56
444|946.80
440|75.89
524|61.93
511|-723.89
-341|857.32
424|-558.26
-912|274.60
669|-129.57
230|728.86
-238|-230.70
-415|-788.66
-1|-812.22
-731|-300.16
-249|-520.30
30|-987.84
972|-533.32
887|-362.68
-585|767.61
-541|329.88
-85|-141.11
-305|-662.12
967|-104.94
543|405.53
-609|471.11
144|76.48
-220|124.03
58|495.24
-768|401.52
539|920.10
-938|-263.78
-550|-418.37
841|515.37
167|292.84
-699|-40.60
-310|938.09
-149|426.09
834|-556.32
-312|55.10
364|891.86
279|411.75
-848|-136.98
-98|-892.17
-371|-981.60
808|-217.51
-628|123.52
-486|-46.88
878|-533.77
769|-829.81
423|-25.50
-882|-919.85
